month,sales,category,actual_price,product_id,product_name,base_cat,PED
March,74.92882559899819,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",29.88,B078W65FJ7,boAt BassHeads 900 On-Ear Wired Headphones with Mic (White),Electronics,-1.0
January,177.36240197276248,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,32.39,B0798PJPCL,Portronics My buddy plus Adjustable Laptop cooling Table (Brown),Computers&Accessories,-0.8188098453846737
February,180.21582414342922,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,32.39,B0798PJPCL,Portronics My buddy plus Adjustable Laptop cooling Table (Brown),Computers&Accessories,-0.8188098453846737
March,201.37485885364984,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,32.39,B0798PJPCL,Portronics My buddy plus Adjustable Laptop cooling Table (Brown),Computers&Accessories,-0.8188098453846737
January,112.48913051654422,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,9.59,B07CRL2GY6,boAt Rugged V3 Braided Micro USB Cable (Pearl White),Computers&Accessories,-1.0
February,78.33598433023182,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,9.59,B07CRL2GY6,boAt Rugged V3 Braided Micro USB Cable (Pearl White),Computers&Accessories,-1.0
March,56.441949846024826,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,9.59,B07CRL2GY6,boAt Rugged V3 Braided Micro USB Cable (Pearl White),Computers&Accessories,-1.0
January,106.72925019017606,"Electronics|Headphones,Earbuds&Accessories|Cases",5.99,B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon, Soft Fabric, Mesh Pocket, Green",Electronics,-0.677771194274417
February,87.71578936833623,"Electronics|Headphones,Earbuds&Accessories|Cases",5.99,B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon, Soft Fabric, Mesh Pocket, Green",Electronics,-0.677771194274417
March,59.79350786583351,"Electronics|Headphones,Earbuds&Accessories|Cases",5.99,B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon, Soft Fabric, Mesh Pocket, Green",Electronics,-0.677771194274417
January,85.87055205864708,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,15.59,B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&Accessories,-1.0
February,70.88180631128103,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,15.59,B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&Accessories,-1.0
March,83.60641403339416,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,15.59,B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&Accessories,-1.0
January,411.46353447501224,Electronics|Mobiles&Accessories|MobileAccessories|Stands,5.99,B07GXHC691,"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics,-1.0
February,246.73961453879548,Electronics|Mobiles&Accessories|MobileAccessories|Stands,5.99,B07GXHC691,"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics,-1.0
March,191.98345532389524,Electronics|Mobiles&Accessories|MobileAccessories|Stands,5.99,B07GXHC691,"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics,-1.0
January,92.61339050949397,MusicalInstruments|Microphones|Condenser,8.39,B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,-0.2594513417385498
February,59.53968719671831,MusicalInstruments|Microphones|Condenser,8.39,B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,-0.2594513417385498
March,84.66606671930718,MusicalInstruments|Microphones|Condenser,8.39,B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,-0.2594513417385498
